relative_path,source,label,licence,commercial_eligible,provenance_reviewed,split,duration_seconds,sha256
crowd/crowd_001.wav,legacy-local-raw-unverified,crowd,UNVERIFIED,false,false,unassigned,21.673,be3b13325a6b586cc90c4468cca95785ced9766146375d9fde77cddc2359a442
crowd/crowd_0010.wav,legacy-local-raw-unverified,crowd,UNVERIFIED,false,false,unassigned,22.534,415db25b9c26c55d647225145f96d47bc2c443d8556485c4275ba93d7cb36194
crowd/crowd_0011.wav,legacy-local-raw-unverified,crowd,UNVERIFIED,false,false,unassigned,22.534,0773a2b811e0d3434488e8723983509b7ff5cb5364205414fdb98c3e06de22b2
crowd/crowd_0012.wav,legacy-local-raw-unverified,crowd,UNVERIFIED,false,false,unassigned,19.799,1dd3b6e12a54b25604f460803b367b13320160f4b9d84bba1438d64f186d2e0b
crowd/crowd_0013.wav,legacy-local-raw-unverified,crowd,UNVERIFIED,false,false,unassigned,18.626,37c13684a5be3061ffca7dcefafdf59c8ea0aa1ae627ecd0bfc4968514284c62
crowd/crowd_0014.wav,legacy-local-raw-unverified,crowd,UNVERIFIED,false,false,unassigned,17.845,f300c1e31eb706f22ee4f5deff563f1ebcae7e5d851e5844848332724454e052
crowd/crowd_0015.wav,legacy-local-raw-unverified,crowd,UNVERIFIED,false,false,unassigned,16.672,771f54f7d1b5c2dcbfcadc0ed60470b10b284ad85a24c145dc5f01efce7aae52
crowd/crowd_0016.wav,legacy-local-raw-unverified,crowd,UNVERIFIED,false,false,unassigned,3.552,61841c3c419813fe73598b8a6663bf147493c2cf4888155de74b2a263cd52f00
crowd/crowd_0017.wav,legacy-local-raw-unverified,crowd,UNVERIFIED,false,false,unassigned,2.887,6cf4074305db23c989c58289541f64e8cc05acf682189deb241a01df6ec43ffe
crowd/crowd_0018.wav,legacy-local-raw-unverified,crowd,UNVERIFIED,false,false,unassigned,3.039,7215aac442ef1363792a595f88917c9e810984fc667bf7742617bf9897f0c99e
crowd/crowd_0019.wav,legacy-local-raw-unverified,crowd,UNVERIFIED,false,false,unassigned,2.887,b5e7c046b2a2137e6956965761fbb8630fe5ab4bfb995e6e15006b554f99643a
crowd/crowd_002.wav,legacy-local-raw-unverified,crowd,UNVERIFIED,false,false,unassigned,33.112,db664855d3e5cde60a46b4c7451b2adda92b264c145d9058864aa9645c3e87e4
crowd/crowd_0020.wav,legacy-local-raw-unverified,crowd,UNVERIFIED,false,false,unassigned,3.799,92659bf0fb24ecea4477c8dd01e566363d421a9a442b0ee01543c1c09695d3ec
crowd/crowd_0021.wav,legacy-local-raw-unverified,crowd,UNVERIFIED,false,false,unassigned,3.818,3b0af3579c9f37313e48a6cd5f2ea2f82591e7ddb435b63385a469afa7460c1a
crowd/crowd_0022.wav,legacy-local-raw-unverified,crowd,UNVERIFIED,false,false,unassigned,1.863,8207bc70cd594485f206c3edaefe793be72d9279a0c35cd5e2acdc1e71f9a6b4
crowd/crowd_0023.wav,legacy-local-raw-unverified,crowd,UNVERIFIED,false,false,unassigned,1.417,0d0630d6805f7c1a0783a789b09153160b3301aebc151822e07f830ddacaec5f
crowd/crowd_0024.wav,legacy-local-raw-unverified,crowd,UNVERIFIED,false,false,unassigned,1.329,5ed4bf722bcdb9351b3fe4fedb71459a9650e0d74d600ae2c8f243e6db565e84
crowd/crowd_0025.wav,legacy-local-raw-unverified,crowd,UNVERIFIED,false,false,unassigned,1.640,c6e6283a8ea191fd1308ca71380008ab09dc96217b451c6515597fbf6557e6ce
crowd/crowd_0026.wav,legacy-local-raw-unverified,crowd,UNVERIFIED,false,false,unassigned,1.911,cca4f3ab44ab5eb31aa3196c7d77003ea562eaae65d85c0fa54f046eaa72a91b
crowd/crowd_0027.wav,legacy-local-raw-unverified,crowd,UNVERIFIED,false,false,unassigned,1.533,a14231e6e7bd1e649a2ceb45a423cd2cb0979ca2997cb337bba52d7f2d262fdb
crowd/crowd_0028.wav,legacy-local-raw-unverified,crowd,UNVERIFIED,false,false,unassigned,0.970,a21504feed2202d650b05579f01b3174f9648200a7df87d20112e4bd46caaed3
crowd/crowd_0029.wav,legacy-local-raw-unverified,crowd,UNVERIFIED,false,false,unassigned,4.297,5607c70da976b7de7ec53c42504946c74eae13591a3d4fe41c103a9bb4bc14dc
crowd/crowd_003.wav,legacy-local-raw-unverified,crowd,UNVERIFIED,false,false,unassigned,19.988,733b6b5c06c21defb820fbd4547425aa963f0597f5aa6c3857ba81b634833520
crowd/crowd_0030.wav,legacy-local-raw-unverified,crowd,UNVERIFIED,false,false,unassigned,3.764,2eee0cf28ba7af61d387ca37228cbb1e8619a1e912017c11f8d119c118b681ba
crowd/crowd_0031.wav,legacy-local-raw-unverified,crowd,UNVERIFIED,false,false,unassigned,3.356,87175428f029f0d1b816f1d74a904d1c9df039e4ed4e29c2cab918e3617eb4c4
crowd/crowd_0032.wav,legacy-local-raw-unverified,crowd,UNVERIFIED,false,false,unassigned,4.014,762049099a70382afd30beb6ac932de706a16afb6032d4950764c775b521fad3
crowd/crowd_0033.wav,legacy-local-raw-unverified,crowd,UNVERIFIED,false,false,unassigned,4.297,fe5fa19f5784a14eab3739b3c57f6cf4cf7ad7f640bdfa91898432fb52bd924c
crowd/crowd_0034.wav,legacy-local-raw-unverified,crowd,UNVERIFIED,false,false,unassigned,3.920,2e39b8a8d32365537a5f477f095bac5d9a4367793d235e5100f267dbd41d6adf
